PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL
"Samsung Galaxy Z Fold 6 (1TB, Silver) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMFLD61TBSlv-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (1TB, White) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMFLD61TBWht-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (256GB, Black) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6256GBBlk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (256GB, Navy) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6256GBNvy-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (256GB, Pink) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6256GBPnk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (256GB, Silver) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6256GBSlv-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (256GB, White) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6256GBWht-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy S25 Ultra 5G (512GB, Black) - Excellent",Samsung Galaxy S25 Series,Samsung,,,SM25UT512GBBlk-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy S25 Ultra 5G (512GB, Gray) - Excellent",Samsung Galaxy S25 Series,Samsung,,,SM25UT512GBGry-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy S25 Plus 5G (256GB, Silver Shadow) - Excellent",Samsung Galaxy S25 Series,Samsung,,,SM25PLS256GBSil-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy S25 Plus 5G (256GB, Navy) - Excellent",Samsung Galaxy S25 Series,Samsung,,,SM25PLS256GBNav-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (512GB, Black) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6512GBBlk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (512GB, Navy) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6512GBNvy-VR-ASN-AU,,,,,,,,,
"Apple iPad 10 (256GB, Blue) - Excellent",Apple iPad Series,Apple,,,iPd10256GBBlu-RD-VR-EXD-AU,,,,,,,,,
"Apple iPad 10 (256GB, Pink) - Excellent",Apple iPad Series,Apple,,,iPd10256GBPnk-RD-VR-EXD-AU,,,,,,,,,
"Apple iPad 10 (256GB, Silver) - Excellent",Apple iPad Series,Apple,,,iPd10256GBSlv-RD-VR-EXD-AU,,,,,,,,,
"Apple iPad 10 (256GB, Yellow) - Excellent",Apple iPad Series,Apple,,,iPd10256GBYlw-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (512GB, Pink) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6512GBPnk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (512GB, Silver) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6512GBSlv-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (512GB, White) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFold6512GBWht-VR-ASN-AU,,,,,,,,,
